# Output Voltage [V] ,Measured Voltage [V] ,Measured Voltage Std [V] ,Frequency [MHz]
            0.000000 ,            0.002000 ,                0.000000 ,     129.368700
            0.025157 ,            0.024000 ,                0.000000 ,     129.495100
            0.050314 ,            0.050000 ,                0.000000 ,     129.715900
            0.075472 ,            0.075000 ,                0.000000 ,     129.894100
            0.100629 ,            0.100000 ,                0.000000 ,     129.973200
            0.125786 ,            0.125000 ,                0.000000 ,     130.196000
            0.150943 ,            0.150000 ,                0.000000 ,     130.417500
            0.176101 ,            0.176000 ,                0.000000 ,     130.634600
            0.201258 ,            0.201000 ,                0.000000 ,     130.813200
            0.226415 ,            0.226000 ,                0.000000 ,     130.913600
            0.251572 ,            0.252000 ,                0.000000 ,     131.144100
            0.276730 ,            0.276000 ,                0.000000 ,     131.365600
            0.301887 ,            0.302000 ,                0.000000 ,     131.558600
            0.327044 ,            0.326000 ,                0.000000 ,     131.738600
            0.352201 ,            0.352000 ,                0.000000 ,     131.848200
            0.377358 ,            0.378000 ,                0.000000 ,     132.076600
            0.402516 ,            0.402000 ,                0.000000 ,     132.295900
            0.427673 ,            0.428000 ,                0.000000 ,     132.488800
            0.452830 ,            0.452000 ,                0.000000 ,     132.569000
            0.477987 ,            0.478000 ,                0.000000 ,     132.792700
            0.503145 ,            0.503000 ,                0.000000 ,     133.023800
            0.528302 ,            0.528000 ,                0.000000 ,     133.234200
            0.553459 ,            0.553000 ,                0.000000 ,     133.425700
            0.578616 ,            0.578000 ,                0.000000 ,     133.519600
            0.603774 ,            0.603000 ,                0.000000 ,     133.751200
            0.628931 ,            0.629000 ,                0.000000 ,     133.983500
            0.654088 ,            0.653000 ,                0.000000 ,     134.175400
            0.679245 ,            0.679000 ,                0.000000 ,     134.251600
            0.704403 ,            0.705000 ,                0.000000 ,     134.492000
            0.729560 ,            0.729000 ,                0.000000 ,     134.719700
            0.754717 ,            0.755000 ,                0.000000 ,     134.938700
            0.779874 ,            0.779000 ,                0.000000 ,     135.123200
            0.805031 ,            0.805000 ,                0.000000 ,     135.217300
            0.830189 ,            0.831000 ,                0.000000 ,     135.460300
            0.855346 ,            0.855000 ,                0.000000 ,     135.693100
            0.880503 ,            0.881000 ,                0.000000 ,     135.890000
            0.905660 ,            0.905000 ,                0.000000 ,     135.966000
            0.930818 ,            0.931000 ,                0.000000 ,     136.201600
            0.955975 ,            0.956000 ,                0.000000 ,     136.443700
            0.981132 ,            0.981000 ,                0.000000 ,     136.649500
            1.006289 ,            1.006000 ,                0.000000 ,     136.844700
            1.031447 ,            1.031000 ,                0.000000 ,     136.948500
            1.056604 ,            1.056000 ,                0.000000 ,     137.188600
            1.081761 ,            1.082000 ,                0.000000 ,     137.421400
            1.106918 ,            1.106000 ,                0.000000 ,     137.607800
            1.132075 ,            1.132000 ,                0.000000 ,     137.693900
            1.157233 ,            1.157000 ,                0.000000 ,     137.936700
            1.182390 ,            1.182000 ,                0.000000 ,     138.168500
            1.207547 ,            1.207000 ,                0.000000 ,     138.382100
            1.232704 ,            1.232000 ,                0.000000 ,     138.569400
            1.257862 ,            1.257000 ,                0.000000 ,     138.690700
            1.283019 ,            1.283000 ,                0.000000 ,     138.931100
            1.308176 ,            1.308000 ,                0.000000 ,     139.149400
            1.333333 ,            1.333000 ,                0.000000 ,     139.346200
