# Voltage [V], Frequency [MHz]
6.995000, 134.400000
7.003000, 134.400000
6.998000, 134.400000
7.005000, 134.400000
6.990000, 134.400000
7.006000, 134.400000
6.998000, 134.400000
7.006000, 134.400000
6.993000, 134.400000
7.004000, 134.400000
6.997000, 134.400000
6.995000, 134.400000
7.005000, 134.400000
6.995000, 134.400000
7.009000, 134.400000
6.991000, 134.400000
7.008000, 134.400000
6.993000, 134.400000
7.005000, 134.410000
7.008000, 134.430000
7.038000, 134.430000
7.072000, 134.650000
7.078000, 134.920000
7.134000, 135.060000
7.248000, 135.060000
7.361000, 135.960000
7.434000, 137.040000
7.533000, 137.870000
7.614000, 137.870000
7.737000, 138.780000
7.889000, 139.840000
8.036000, 141.320000
8.179000, 141.320000
8.362000, 142.900000
8.469000, 144.550000
8.566000, 145.830000
8.706000, 147.610000
8.786000, 147.610000
8.798000, 148.050000
8.955000, 148.360000
9.231000, 150.600000
9.274000, 150.600000
9.352000, 151.720000
9.424000, 152.540000
9.465000, 153.220000
9.536000, 154.140000
9.591000, 154.140000
9.665000, 154.450000
9.744000, 155.230000
9.810000, 156.380000
9.894000, 156.380000
9.952000, 156.800000
9.961000, 157.410000
10.053000, 157.660000
10.105000, 157.660000
10.209000, 158.450000
10.262000, 159.290000
10.292000, 159.940000
10.309000, 159.940000
10.316000, 160.190000
10.325000, 160.310000
10.308000, 160.320000
10.321000, 160.310000
10.316000, 160.310000
10.309000, 160.310000
10.322000, 160.310000
10.319000, 160.310000
10.310000, 160.310000
10.321000, 160.310000
10.314000, 160.310000
10.317000, 160.310000
10.316000, 160.310000
10.316000, 160.310000
10.316000, 160.310000
10.313000, 160.320000
10.325000, 160.320000
10.316000, 160.320000
10.317000, 160.320000
10.316000, 160.320000
10.317000, 160.320000
10.302000, 160.210000
10.283000, 160.210000
10.281000, 160.130000
10.262000, 160.000000
10.269000, 159.890000
10.234000, 159.890000
10.205000, 159.780000
10.114000, 159.440000
10.153000, 158.610000
10.198000, 158.610000
10.007000, 159.440000
10.112000, 158.310000
10.186000, 158.680000
9.925000, 158.680000
10.239000, 157.750000
10.152000, 158.920000
9.695000, 158.050000
9.904000, 158.050000
9.494000, 155.790000
9.378000, 154.300000
9.358000, 152.880000
9.340000, 152.880000
9.233000, 152.670000
9.234000, 152.210000
9.026000, 151.280000
9.001000, 150.100000
8.889000, 150.100000
8.788000, 149.400000
8.684000, 148.310000
8.592000, 147.280000
8.470000, 147.280000
8.379000, 146.210000
8.344000, 145.160000
8.225000, 144.700000
8.064000, 143.380000
7.944000, 143.380000
7.834000, 141.970000
7.713000, 140.750000
7.654000, 139.880000
7.495000, 139.880000
7.334000, 138.640000
7.203000, 137.170000
7.053000, 135.640000
7.000000, 135.640000
7.000000, 134.550000
6.996000, 134.390000
7.005000, 134.400000
7.000000, 134.390000
7.002000, 134.390000
6.998000, 134.390000
6.999000, 134.390000
7.000000, 134.390000
7.000000, 134.390000
7.004000, 134.390000
6.991000, 134.390000
7.003000, 134.390000
6.990000, 134.390000
7.006000, 134.390000
6.997000, 134.390000
7.003000, 134.390000
6.998000, 134.390000
7.005000, 134.390000
6.995000, 134.390000
7.002000, 134.390000
6.998000, 134.390000
7.000000, 134.390000
6.993000, 134.390000
7.004000, 134.390000
6.991000, 134.390000
7.005000, 134.390000
6.997000, 134.390000
7.006000, 134.390000
6.998000, 134.390000
7.006000, 134.390000
6.990000, 134.390000
7.004000, 134.390000
6.998000, 134.390000
7.000000, 134.390000
6.999000, 134.390000
6.993000, 134.390000
7.002000, 134.390000
7.000000, 134.390000
7.012000, 134.390000
7.046000, 134.430000
7.178000, 134.810000
7.241000, 136.140000
7.487000, 136.890000
7.365000, 136.890000
7.564000, 137.890000
7.506000, 138.140000
7.536000, 138.230000
7.661000, 138.230000
7.759000, 139.040000
7.863000, 140.120000
7.944000, 141.090000
8.056000, 141.090000
8.161000, 142.120000
8.214000, 143.140000
8.306000, 143.880000
8.370000, 143.880000
8.398000, 144.750000
8.449000, 145.130000
8.523000, 145.640000
8.561000, 146.210000
8.600000, 146.210000
8.674000, 146.610000
8.740000, 147.240000
8.773000, 147.850000
8.808000, 148.210000
8.885000, 148.210000
8.954000, 148.740000
9.047000, 149.590000
9.129000, 150.440000
9.247000, 150.440000
9.322000, 151.470000
9.347000, 152.340000
9.409000, 152.660000
9.505000, 152.660000
9.559000, 153.540000
9.667000, 154.300000
9.754000, 155.220000
9.848000, 155.220000
9.939000, 156.190000
10.035000, 157.190000
10.133000, 158.190000
10.235000, 158.190000
10.269000, 159.230000
10.283000, 159.920000
10.313000, 160.060000
10.317000, 160.310000
10.323000, 160.310000
10.309000, 160.310000
10.317000, 160.310000
10.315000, 160.310000
10.309000, 160.310000
10.323000, 160.310000
10.307000, 160.300000
10.316000, 160.300000
10.310000, 160.300000
10.316000, 160.300000
10.317000, 160.300000
10.310000, 160.300000
10.282000, 160.300000
10.270000, 160.180000
10.198000, 159.920000
10.087000, 159.270000
9.966000, 157.580000
9.844000, 157.580000
9.724000, 156.880000
9.608000, 155.690000
9.468000, 154.260000
9.454000, 154.260000
9.370000, 153.470000
9.254000, 152.910000
9.170000, 151.860000
9.068000, 150.390000
8.967000, 150.390000
8.848000, 149.790000
8.734000, 148.690000
8.678000, 147.650000
8.611000, 147.650000
8.544000, 147.080000
8.438000, 146.360000
8.370000, 145.470000
8.285000, 144.630000
8.208000, 144.630000
8.104000, 143.850000
7.978000, 142.850000
7.836000, 141.570000
7.679000, 141.570000
7.437000, 139.990000
7.333000, 138.110000
7.259000, 136.760000
7.268000, 136.760000
7.199000, 136.400000
7.089000, 136.050000
7.043000, 135.040000
7.009000, 135.040000
6.995000, 134.590000
7.002000, 134.390000
7.005000, 134.380000
6.996000, 134.380000
7.008000, 134.380000
7.015000, 134.380000
7.063000, 134.480000
7.070000, 134.700000
7.213000, 134.700000
7.163000, 135.330000
7.328000, 135.810000
7.381000, 136.700000
7.417000, 136.870000
7.359000, 136.870000
7.399000, 137.080000
7.413000, 137.380000
7.462000, 137.610000
7.529000, 137.610000
7.665000, 138.260000
7.776000, 139.400000
7.889000, 140.570000
8.022000, 140.570000
8.097000, 141.830000
8.169000, 142.830000
8.195000, 143.370000
8.263000, 143.370000
8.338000, 143.860000
8.412000, 144.600000
8.503000, 145.380000
8.597000, 146.290000
8.632000, 146.290000
8.670000, 146.960000
8.721000, 147.240000
8.808000, 147.900000
8.913000, 147.900000
9.054000, 148.820000
9.167000, 150.180000
9.251000, 151.360000
9.361000, 151.360000
9.481000, 152.250000
9.488000, 153.500000
9.559000, 153.830000
9.676000, 153.830000
9.839000, 154.740000
9.945000, 156.230000
10.044000, 157.450000
10.086000, 158.310000
10.196000, 158.310000
10.287000, 158.940000
10.313000, 160.050000
10.316000, 160.290000
10.315000, 160.290000
10.317000, 160.290000
10.321000, 160.290000
10.317000, 160.290000
10.310000, 160.290000
10.322000, 160.300000
10.315000, 160.300000
10.312000, 160.300000
