# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
8.800000,0.591795,0.000038,198.370000
8.774952,0.590177,0.000038,198.320000
8.749904,0.588436,0.000031,198.050000
8.724855,0.586744,0.000038,197.770000
8.699807,0.585042,0.000042,197.720000
8.674759,0.583380,0.000034,197.450000
8.649711,0.581777,0.000039,197.170000
8.624663,0.580070,0.000031,197.130000
8.599615,0.578348,0.000028,196.850000
8.574566,0.576671,0.000034,196.580000
8.549518,0.575029,0.000034,196.320000
8.524470,0.573371,0.000019,196.270000
8.499422,0.571674,0.000039,196.000000
8.474374,0.569928,0.000037,195.730000
8.449326,0.568221,0.000037,195.670000
8.424277,0.566603,0.000031,195.400000
8.399229,0.564892,0.000048,195.140000
8.374181,0.563175,0.000034,194.860000
8.349133,0.561463,0.000034,194.810000
8.324085,0.559845,0.000039,194.550000
8.299037,0.558163,0.000034,194.290000
8.273988,0.556447,0.000039,194.030000
8.248940,0.554765,0.000031,193.980000
8.223892,0.553053,0.000039,193.710000
8.198844,0.551420,0.000031,193.440000
8.173796,0.549708,0.000026,193.390000
8.148748,0.547977,0.000031,193.110000
8.123699,0.546300,0.000019,192.850000
8.098651,0.544652,0.000019,192.800000
8.073603,0.542941,0.000038,192.540000
8.048555,0.541254,0.000039,192.270000
8.023507,0.539512,0.000019,192.010000
7.998459,0.537806,0.000037,191.960000
7.973410,0.536207,0.000034,191.700000
7.948362,0.534501,0.000039,191.440000
7.923314,0.532828,0.000034,191.180000
7.898266,0.531112,0.000039,191.130000
7.873218,0.529375,0.000039,190.860000
7.848170,0.527767,0.000026,190.610000
7.823121,0.526090,0.000026,190.550000
7.798073,0.524369,0.000019,190.300000
7.773025,0.522667,0.000039,190.030000
7.747977,0.521049,0.000028,189.780000
7.722929,0.519352,0.000039,189.730000
7.697881,0.517640,0.000050,189.470000
7.672832,0.515953,0.000039,189.200000
7.647784,0.514232,0.000038,189.160000
7.622736,0.512604,0.000039,188.910000
7.597688,0.510907,0.000039,188.660000
7.572640,0.509200,0.000026,188.380000
7.547592,0.507474,0.000028,188.330000
7.522543,0.505866,0.000038,188.080000
7.497495,0.504169,0.000026,187.820000
7.472447,0.502442,0.000034,187.770000
7.447399,0.500770,0.000019,187.500000
7.422351,0.499058,0.000038,187.240000
7.397303,0.497435,0.000031,186.990000
7.372254,0.495724,0.000026,186.940000
7.347206,0.494047,0.000026,186.670000
7.322158,0.492345,0.000037,186.410000
7.297110,0.490732,0.000026,186.360000
7.272062,0.489030,0.000037,186.110000
7.247013,0.487328,0.000034,185.840000
7.221965,0.485631,0.000044,185.790000
7.196917,0.483929,0.000037,185.520000
7.171869,0.482326,0.000038,185.250000
7.146821,0.480585,0.000037,185.200000
7.121773,0.478883,0.000034,184.930000
7.096724,0.477152,0.000031,184.670000
7.071676,0.475519,0.000026,184.600000
7.046628,0.473852,0.000000,184.350000
7.021580,0.472165,0.000038,184.080000
6.996532,0.470482,0.000037,183.820000
6.971484,0.468751,0.000038,183.760000
6.946435,0.467173,0.000038,183.500000
6.921387,0.465500,0.000031,183.240000
6.896339,0.463764,0.000031,183.180000
6.871291,0.462042,0.000038,182.910000
6.846243,0.460469,0.000039,182.650000
6.821195,0.458767,0.000026,182.600000
6.796146,0.457070,0.000038,182.350000
6.771098,0.455378,0.000034,182.090000
6.746050,0.453652,0.000034,182.040000
6.721002,0.452058,0.000026,181.780000
6.695954,0.450347,0.000042,181.520000
6.670906,0.448635,0.000039,181.270000
6.645857,0.446938,0.000028,181.230000
6.620809,0.445246,0.000039,180.970000
6.595761,0.443608,0.000042,180.710000
6.570713,0.441941,0.000037,180.660000
