# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
-4.200000,-0.280625,0.000000,100.290000
-4.174952,-0.278899,0.000038,100.400000
-4.149904,-0.277158,0.000044,100.770000
-4.124855,-0.275526,0.000038,100.760000
-4.099807,-0.273785,0.000037,100.930000
-4.074759,-0.272177,0.000019,101.160000
-4.049711,-0.270480,0.000039,101.390000
-4.024663,-0.268764,0.000037,101.440000
-3.999615,-0.267033,0.000034,101.670000
-3.974566,-0.265450,0.000037,101.900000
-3.949518,-0.263728,0.000026,102.130000
-3.924470,-0.262002,0.000000,102.180000
-3.899422,-0.260320,0.000037,102.420000
-3.874374,-0.258609,0.000000,102.650000
-3.849326,-0.256957,0.000034,102.700000
-3.824277,-0.255265,0.000038,102.930000
-3.799229,-0.253558,0.000000,103.160000
-3.774181,-0.251832,0.000026,103.390000
-3.749133,-0.250229,0.000031,103.440000
-3.724085,-0.248523,0.000042,103.660000
-3.699037,-0.246777,0.000019,103.890000
-3.673988,-0.245085,0.000038,103.940000
-3.648940,-0.243364,0.000031,104.170000
-3.623892,-0.241781,0.000034,104.390000
-3.598844,-0.240079,0.000031,104.620000
-3.573796,-0.238402,0.000019,104.670000
-3.548748,-0.237382,0.000000,104.900000
-3.523699,-0.237224,0.000000,105.130000
-3.498651,-0.235660,0.000031,105.170000
-3.473603,-0.233944,0.000039,105.400000
-3.448555,-0.232218,0.000039,105.620000
-3.423507,-0.230546,0.000038,105.840000
-3.398459,-0.228928,0.000026,105.890000
-3.373410,-0.227207,0.000019,106.100000
-3.348362,-0.225535,0.000026,106.330000
-3.323314,-0.223814,0.000019,106.370000
-3.298266,-0.222137,0.000031,106.600000
-3.273218,-0.220509,0.000031,106.810000
-3.248170,-0.218803,0.000039,107.030000
-3.223121,-0.217086,0.000031,107.070000
-3.198073,-0.215390,0.000037,107.300000
-3.173025,-0.213772,0.000031,107.520000
-3.147977,-0.212041,0.000026,107.550000
-3.122929,-0.210354,0.000039,107.780000
-3.097881,-0.208653,0.000019,107.990000
-3.072832,-0.206976,0.000037,108.210000
-3.047784,-0.205368,0.000037,108.250000
-3.022736,-0.203666,0.000034,108.460000
-2.997688,-0.201955,0.000019,108.680000
-2.972640,-0.200219,0.000034,108.900000
-2.947592,-0.198636,0.000000,108.930000
-2.922543,-0.196920,0.000044,109.140000
-2.897495,-0.195253,0.000026,109.360000
-2.872447,-0.193551,0.000039,109.570000
-2.847399,-0.191815,0.000039,109.610000
-2.822351,-0.190222,0.000038,109.830000
-2.797303,-0.188510,0.000037,110.050000
-2.772254,-0.186799,0.000039,110.250000
-2.747206,-0.185137,0.000019,110.300000
-2.722158,-0.183490,0.000019,110.520000
-2.697110,-0.181793,0.000039,110.730000
-2.672062,-0.180101,0.000026,110.770000
-2.647013,-0.178370,0.000031,110.990000
-2.621965,-0.176674,0.000037,111.210000
-2.596917,-0.175091,0.000038,111.420000
-2.571869,-0.173379,0.000019,111.460000
-2.546821,-0.171653,0.000019,111.680000
-2.521773,-0.169981,0.000026,111.900000
-2.496724,-0.168344,0.000038,111.940000
-2.471676,-0.166632,0.000039,112.150000
-2.446628,-0.164941,0.000000,112.360000
-2.421580,-0.163229,0.000037,112.580000
-2.396532,-0.161547,0.000028,112.620000
-2.371484,-0.159954,0.000031,112.840000
-2.346435,-0.158238,0.000019,113.060000
-2.321387,-0.156497,0.000000,113.100000
-2.296339,-0.154860,0.000034,113.320000
-2.271291,-0.153163,0.000034,113.540000
-2.246243,-0.151525,0.000028,113.750000
-2.221195,-0.149863,0.000034,113.790000
-2.196146,-0.148182,0.000038,114.010000
-2.171098,-0.146450,0.000037,114.230000
-2.146050,-0.144867,0.000038,114.430000
-2.121002,-0.143181,0.000034,114.470000
-2.095954,-0.141454,0.000047,114.680000
-2.070906,-0.139777,0.000026,114.900000
-2.045857,-0.138061,0.000038,115.120000
-2.020809,-0.136419,0.000039,115.160000
-1.995761,-0.134737,0.000034,115.370000
-1.970713,-0.133055,0.000019,115.590000
-1.945665,-0.131359,0.000039,115.630000
-1.920617,-0.129731,0.000031,115.850000
-1.895568,-0.128015,0.000019,116.070000
-1.870520,-0.126308,0.000039,116.290000
-1.845472,-0.124612,0.000044,116.330000
-1.820424,-0.122885,0.000034,116.550000
-1.795376,-0.121292,0.000026,116.760000
-1.770328,-0.119586,0.000034,116.970000
-1.745279,-0.117865,0.000039,117.020000
-1.720231,-0.116138,0.000039,117.240000
-1.695183,-0.114511,0.000034,117.460000
-1.670135,-0.112814,0.000039,117.500000
-1.645087,-0.111103,0.000034,117.720000
-1.620039,-0.109396,0.000026,117.940000
-1.594990,-0.107665,0.000031,118.170000
-1.569942,-0.106033,0.000039,118.200000
-1.544894,-0.104381,0.000039,118.420000
-1.519846,-0.102674,0.000034,118.630000
